# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10635
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=20 d=2.54268 t=10412
ben dan 	笨蛋	c=1 d=1 t=1603
ben gai 	本該	c=1 d=1 t=3735
ben hang 	本行	c=1 d=1 t=8395
ben ji 	本機	c=1 d=1 t=7051
ben ke cheng 	本課程	c=1 d=1 t=7028
ben ke sheng 	本科生	c=1 d=1 t=2010
ben lai 	本來	c=4 d=1 t=7439
ben pian 	本片	c=1 d=1 t=5449
ben ren 	本人	c=1 d=0.955997 t=10635
ben shen 	本身	c=1 d=1 t=3235
ben shi pin 	本視頻	c=1 d=1 t=7175
ben xi 	本溪	c=0 d=0.1 t=6484
ben xi lie 	本溪列	c=1 d=1 t=6485
ben xue qi 	本學期	c=1 d=1 t=7119
ben ye 	本頁	c=1 d=1 t=987
ben zhi 	本質	c=1 d=1 t=3260
ben zhi shang 	本質上	c=1 d=1 t=3195
beng kui 	崩潰	c=1 d=1 t=10591
bi 	幣	c=1 d=1.06079 t=8743
bi 	比	c=1 d=1 t=7721
bi 	筆	c=1 d=1 t=77
bi er 	比爾	c=1 d=1 t=301
bi fang 	比方	c=1 d=1 t=7935
bi fang shuo 	比方說	c=0 d=0.1 t=8781
bi ji 	筆記	c=2 d=1 t=8923
bi ji ben 	筆記本	c=1 d=1 t=6781
bi jiao 	比較	c=9 d=1.06023 t=10123
bi jiao mang 	比較忙	c=1 d=1 t=10181
bi jin 	逼近	c=1 d=1 t=7202
bi jing 	畢竟	c=1 d=1 t=7203
bi te 	比特	c=0 d=0.1 t=8743
bi te bi 	比特幣	c=2 d=1.90032 t=8765
bi xu 	必須	c=1 d=0.100005 t=3724
bi xu kan 	必須看	c=1 d=1 t=3725
bi yao 	必要	c=2 d=1.00003 t=7055
bi ye 	畢業	c=4 d=1.70867 t=10546
bi ye zheng 	畢業證	c=1 d=1 t=8161
bi yi 	筆譯	c=1 d=1 t=7847
bian 	變	c=3 d=2.00271 t=8435
bian 	遍	c=2 d=1 t=10386
bian 	邊	c=12 d=1 t=9968
bian biao 	邊表	c=5 d=3.89266 t=2283
bian cheng 	編程	c=17 d=1 t=10042
bian cheng 	變成	c=4 d=0.1 t=10588
bian cu 	變粗	c=1 d=1 t=2083
bian da 	變大	c=3 d=1 t=9932
bian de 	變得	c=1 d=1 t=3167
bian huan 	變換	c=1 d=1 t=1500
bian ji 	編輯	c=2 d=1.06298 t=9420
bian li 	遍歷	c=7 d=1 t=6206
bian liang 	變量	c=13 d=1.02296 t=9261
bian liang ming 	變量名	c=4 d=3.94077 t=6083
bian pang 	變胖	c=1 d=1 t=4928
bian shu 	邊數	c=1 d=1 t=2124
bian xi 	辨析	c=2 d=1.84789 t=7960
bian xiao 	變小	c=1 d=1 t=2498
bian xie 	編寫	c=1 d=1 t=6025
bian xing 	變形	c=1 d=1 t=1573
bian yi 	編譯	c=28 d=4.82931 t=10209
bian yi qi 	編譯器	c=10 d=2.74569 t=2901
bian yi yuan li 	編譯原理	c=1 d=1 t=6884
bian yu 	便於	c=2 d=1 t=9905
bian zhe me da 	邊這麼大	c=1 d=1 t=7626
biao 	表	c=6 d=1 t=9928
biao da 	表達	c=1 d=1 t=4366
biao da shi 	表達式	c=5 d=1.53155 t=10296
biao ji 	標記	c=1 d=1 t=2271
biao qian 	標籤	c=2 d=1.23457 t=9548
biao shi 	表示	c=11 d=1.02937 t=10326
biao ti 	標題	c=1 d=1 t=9038
biao zhi 	標誌	c=1 d=1 t=118
biao zhun 	標準	c=10 d=1.04905 t=3829
bie 	別	c=1 d=1 t=8066
bie zai 	別在	c=1 d=1 t=3110
bin 	彬	c=2 d=1.00507 t=7861
bing 	並	c=1 d=1 t=8408
bing 	秉	c=1 d=1 t=80
bing bu 	並不	c=0 d=0.1 t=9874
bing bu shi 	並不是	c=2 d=1.00681 t=4945
bing bu wei yi 	並不唯一	c=1 d=1 t=9875
bing bu xiang 	並不像	c=0 d=0.1 t=4328
bing fa 	併發	c=3 d=1.77643 t=1205
bing fa 	兵法	c=4 d=1.00045 t=7560
bing jian 	冰鑒	c=1 d=1 t=3501
bing kai 	並開	c=1 d=1 t=3215
bing mei you 	並沒有	c=2 d=1.49907 t=4530
bing neng 	並能	c=0 d=0.1 t=9068
bing neng de dao 	並能得到	c=1 d=1 t=9069
bing qie 	並且	c=2 d=1 t=6517
bing xue 	冰雪	c=1 d=1 t=5423
bing zai 	並在	c=1 d=1 t=9784
bo 	波	c=2 d=1.92312 t=6063
bo fang 	播放	c=2 d=1.50662 t=306
bo ke 	博客	c=1 d=1 t=672
bo lan 	波蘭	c=1 d=1 t=5899
bo ruo 	薄弱	c=1 d=1 t=1070
bu 	不	c=6 d=1.05987 t=10549
bu chong 	補充	c=2 d=1 t=7759
bu chu 	不出	c=0 d=0.1 t=7765
bu cuo 	不錯	c=0 d=0.1 t=4351
bu da kai 	不打開	c=1 d=1 t=9900
bu da rao 	不打擾	c=5 d=0.101871 t=10186
bu duan 	不斷	c=4 d=1 t=5867
bu fen 	部分	c=1 d=1 t=3983
bu fu he 	不符合	c=1 d=1 t=3890
bu gou 	不夠	c=1 d=1 t=7296
bu guo 	不過	c=1 d=1 t=7640
bu guo qu 	不過去	c=1 d=1 t=630
bu hao 	不好	c=2 d=1.80654 t=3742
bu hao yi si 	不好意思	c=1 d=1.00846 t=8102
bu hui 	不會	c=3 d=1 t=7946
bu ji de 	不記得	c=1 d=1 t=8627
bu jian 	部件	c=1 d=1 t=3048
bu jian yi 	不建議	c=1 d=1 t=6509
bu jiao 	不交	c=1 d=1 t=10555
bu ju 	佈局	c=1 d=1 t=9051
bu kan 	不看	c=2 d=1.02587 t=4434
bu ke 	不可	c=1 d=1 t=7154
bu ke yi 	不可以	c=1 d=1 t=1160
bu kong 	不空	c=1 d=1 t=2588
bu li jie 	不理解	c=1 d=1 t=8511
bu liao le 	不了了	c=1 d=1 t=4870
bu lun 	不論	c=1 d=1 t=9186
bu ming 	不明	c=0 d=0.1 t=4764
bu ming bai 	不明白	c=2 d=1.9802 t=10604
bu ming zhen xiang 	不明真相	c=1 d=1 t=4765
bu neng 	不能	c=17 d=1.51258 t=10617
bu neng rang 	不能讓	c=1 d=1 t=1239
bu pan duan 	不判斷	c=1 d=1 t=16
bu qing chu 	不清楚	c=4 d=1.94176 t=10102
bu qu fen 	不區分	c=1 d=1 t=335
bu quan 	補全	c=7 d=2.89771 t=9436
bu ru 	步入	c=1 d=1 t=3599
bu shao 	不少	c=8 d=1.00001 t=10573
bu shi 	不是	c=21 d=1.02016 t=9960
bu shi bie 	不是別	c=1 d=1 t=203
bu shi he 	不適合	c=1 d=1 t=6487
bu shu yu 	不屬於	c=1 d=1 t=8769
bu suan 	不算	c=2 d=1.06324 t=5125
bu suan hao 	不算好	c=1 d=1 t=7441
bu tai 	不太	c=2 d=0.1 t=10454
bu tai dong 	不太懂	c=1 d=1 t=10471
bu tai dui 	不太對	c=1 d=1 t=6571
bu tai hao 	不太好	c=1 d=1 t=8559
bu tai tian xie 	不太填寫	c=1 d=1 t=10455
bu ti gong 	不提供	c=1 d=1 t=362
bu tong 	不同	c=6 d=1.06204 t=9163
bu tong guo 	不通過	c=1 d=1 t=4703
bu tui chu 	不退出	c=1 d=1 t=9337
bu wang 	不忘	c=1 d=1 t=4080
bu wen 	不問	c=1 d=1 t=4162
bu xi huan 	不喜歡	c=3 d=1.00144 t=9555
bu xiang 	不像	c=1 d=1 t=7278
bu xiang 	不想	c=5 d=1.99501 t=10126
bu xiao xin 	不小心	c=1 d=1 t=4644
bu xing 	不行	c=1 d=1 t=4585
bu xing de 	不行的	c=1 d=1 t=5042
bu xiu xi 	不休息	c=1 d=1 t=8790
bu xu yao 	不需要	c=1 d=1 t=316
bu yao 	不要	c=10 d=1.03794 t=9935
bu yao jin 	不要緊	c=1 d=1 t=10444
bu yi 	不易	c=1 d=1 t=3664
bu ying xiang 	不影響	c=1 d=1 t=8138
bu yong 	不用	c=2 d=1 t=10578
bu yong de hua 	不用的話	c=1 d=1 t=6665
bu yong xiang 	不用想	c=1 d=1 t=219
bu zhao ji 	不着急	c=1 d=1 t=7555
bu zhi chi 	不支持	c=1 d=1 t=644
bu zhi dao 	不知道	c=8 d=1.00005 t=10531
bu zhou 	步驟	c=2 d=1.32142 t=784
bu zhun 	不準	c=1 d=1 t=8928
cai 	才	c=4 d=1.05648 t=8819
cai dan 	菜單	c=2 d=1.07208 t=6871
cai de dao 	纔得到	c=1 d=1 t=5870
cai fang 	採訪	c=1 d=1 t=2877
cai jian 	裁剪	c=1 d=1 t=2533
cai ke yi 	纔可以	c=1 d=1 t=14
cai liao 	材料	c=2 d=1.01222 t=1041
cai neng 	才能	c=2 d=1 t=7488
cai qu 	採取	c=1 d=1 t=4985
cai shi 	纔是	c=2 d=1.07692 t=790
cai yong 	採用	c=3 d=1.00009 t=7021
cai you 	纔有	c=1 d=1 t=10410
cai zheng 	財政	c=1 d=1 t=2821
can jia 	參加	c=1 d=1 t=8204
can kan 	參看	c=1 d=1 t=134
can kao 	參考	c=12 d=1.07682 t=10045
can kao shu 	參考書	c=3 d=2.40276 t=3324
can kao shu ji 	參考書籍	c=1 d=1 t=6153
can shu 	參數	c=4 d=2.96042 t=9710
can yu 	參與	c=0 d=0.1 t=2527
cang ku 	倉庫	c=3 d=1.26539 t=1416
cao zong 	操縱	c=1 d=1 t=6457
cao zuo 	操作	c=26 d=2.58953 t=10325
cao zuo xi tong 	操作系統	c=3 d=2.57078 t=6239
cd 	㏅	c=11 d=1.51596 t=10003
ce shi 	測試	c=7 d=1.00017 t=10251
ceng mian 	層面	c=1 d=1 t=3221
cha 	查	c=3 d=1.10812 t=8154
cha bu duo 	差不多	c=3 d=1.00027 t=8982
cha dao 	查到	c=1 d=1 t=10178
cha jian 	插件	c=16 d=4.41876 t=9525
cha ju 	差距	c=1 d=1 t=7428
cha kan 	查看	c=14 d=1.99149 t=8307
cha ru 	插入	c=6 d=2.07643 t=9044
cha xun 	查詢	c=6 d=1 t=9524
cha yi 	差異	c=2 d=1.13466 t=9563
cha zhao 	查找	c=7 d=2.18516 t=9539
chan kan 	產看	c=1 d=1 t=8304
chan sheng 	產生	c=3 d=1 t=9926
chang 	常	c=1 d=1 t=9711
chang 	長	c=1 d=1.00001 t=7517
chang chun 	長春	c=1 d=1 t=2818
chang da 	長達	c=1 d=1 t=5518
chang du 	長度	c=1 d=1 t=2620
chang jian 	常見	c=2 d=1 t=6861
chang jing 	場景	c=1 d=1 t=3951
chang ting wai 	長庭外	c=1 d=1 t=5386
chang yong 	常用	c=5 d=1.03304 t=9687
chao guo 	超過	c=2 d=1 t=9139
chao xi 	抄襲	c=1 d=1 t=303
chao xian 	朝鮮	c=1 d=1 t=5318
chao zuo 	炒作	c=1 d=1 t=8672
che di 	徹底	c=1 d=1 t=3149
che hui 	撤回	c=1 d=1 t=4653
che xiao 	撤銷	c=1 d=1 t=991
chen 	陳	c=2 d=1 t=6185
chen jin 	沉浸	c=1 d=1 t=7561
chen zao 	趁早	c=1 d=1 t=4950
cheng 	城	c=2 d=1.00001 t=5402
cheng 	成	c=2 d=1.00001 t=9207
cheng 	稱	c=1 d=1 t=3122
cheng gong 	成功	c=2 d=1 t=6250
cheng gong le 	成功了	c=2 d=1.92312 t=5056
cheng hao 	程顥	c=1 d=1 t=3153
cheng ji 	成績	c=5 d=1.01493 t=8251
cheng li 	成立	c=1 d=1 t=5853
cheng long 	成龍	c=3 d=1.09752 t=5387
cheng qiang 	城牆	c=1 d=1 t=4013
cheng ren 	成人	c=1 d=1 t=2084
cheng wei 	成爲	c=5 d=1.0435 t=9841
cheng xu 	程序	c=12 d=1.76944 t=10271
cheng xu ji 	程序集	c=1 d=1 t=2916
cheng xu yuan 	程序員	c=2 d=1.00231 t=1358
cheng yi 	程頤	c=1 d=1 t=3152
cheng zhu 	程朱	c=0 d=0.1 t=3122
cheng zhu li xue 	程朱理學	c=1 d=1 t=3123
chi 	喫	c=1 d=1 t=2569
chi cun 	尺寸	c=1 d=1 t=9911
chi cun tu 	尺寸圖	c=2 d=1.9802 t=3339
chi fan 	喫飯	c=1 d=1 t=8567
chi jiu 	持久	c=1 d=1 t=2111
chi li 	喫力	c=1 d=1 t=9804
chong 	重	c=1 d=1 t=9511
chong die 	重疊	c=1 d=1 t=8613
chong ding xiang 	重定向	c=5 d=1.00283 t=8334
chong fen 	充分	c=1 d=1 t=7317
chong fu 	重複	c=3 d=1.50161 t=4645
chong ming ming 	重命名	c=1 d=1 t=9395
chong qi 	重啓	c=1 d=1 t=9327
chong tu 	衝突	c=1 d=1 t=6399
chong xin 	重新	c=5 d=1.60679 t=10484
chong xiu 	重修	c=2 d=1.03615 t=8890
chong zhi 	充值	c=1 d=1 t=10111
chou mi 	稠密	c=0 d=0.1 t=2116
chou mi tu 	稠密圖	c=1 d=1 t=2117
chu 	出	c=2 d=1.00003 t=4339
chu cuo 	出錯	c=2 d=1 t=10446
chu de 	出的	c=1 d=1 t=7864
chu dui 	出隊	c=2 d=1.99501 t=2319
chu fei 	除非	c=1 d=1 t=831
chu feng tou 	出風頭	c=1 d=1 t=8086
chu lai 	出來	c=4 d=1.95123 t=8821
chu le 	出了	c=1 d=1 t=4641
chu le 	除了	c=5 d=3.11757 t=7550
chu li 	處理	c=5 d=1.04699 t=9528
chu li qi 	處理器	c=2 d=1.50662 t=6142
chu qu 	出去	c=1 d=1 t=1314
chu shi 	初始	c=1 d=1 t=9820
chu shi hua 	初始化	c=4 d=3.04307 t=2456
chu wen ti 	出問題	c=1 d=1 t=879
chu xian 	出現	c=6 d=1.00411 t=6850
chu xue zhe 	初學者	c=2 d=1 t=6510
chuan 	串	c=5 d=2.95659 t=9838
chuan 	穿	c=1 d=1 t=8656
chuan di 	傳遞	c=3 d=1 t=9706
chuan ru 	傳入	c=1 d=1 t=9704
chuan xi lu 	傳習錄	c=1 d=1 t=3502
chuan xing 	串行	c=1 d=1 t=3040
chuang jian 	創建	c=5 d=1.13003 t=9731
chuang kou 	窗口	c=14 d=1.00312 t=8378
chuang shi ren 	創始人	c=1 d=1 t=6149
chun 	春	c=2 d=1.00002 t=6115
chun qiu 	春秋	c=1 d=1 t=3545
ci 	次	c=2 d=1 t=8486
ci 	此	c=2 d=1 t=8814
ci ba 	詞霸	c=2 d=1.00737 t=7160
ci fa 	詞法	c=1 d=1 t=9752
ci gen 	詞根	c=4 d=1.41075 t=7924
ci hui 	詞彙	c=21 d=2.00604 t=9000
ci hui ke 	詞彙課	c=1 d=1 t=1644
ci hui liang 	詞彙量	c=1 d=1 t=7287
ci shi 	此時	c=1 d=1 t=5665
ci xu 	次序	c=4 d=1.98511 t=3830
ci yi 	詞義	c=1 d=1 t=7959
ci yuan 	詞源	c=3 d=1.00004 t=7701
cong 	從	c=14 d=1.92081 t=9975
cong ming 	聰明	c=1 d=1 t=4043
cong na 	從那	c=0 d=0.1 t=2446
cong na ge 	從那個	c=1 d=1 t=2447
cong ru men 	從入門	c=1 d=1 t=6032
cong wei 	從未	c=1 d=1 t=4859
cong yi ge 	從一個	c=1 d=1 t=1341
cun 	存	c=0 d=0.1 t=3231
cun chu 	存儲	c=6 d=1.01228 t=6950
cun chu jie gou 	存儲結構	c=1 d=1 t=2291
cun chu qi 	存儲器	c=2 d=1.99005 t=2983
cun fang 	存放	c=2 d=1 t=8645
cun fang zai 	存放在	c=1 d=1 t=8692
cun tian li 	存天理	c=1 d=1 t=3232
cun zai 	存在	c=6 d=1 t=9813
cuo 	錯	c=5 d=1.03464 t=9196
cuo de 	錯的	c=1 d=1 t=9199
cuo wu 	錯誤	c=2 d=1 t=8517
da 	大	c=6 d=0.100695 t=7261
da 	打	c=1 d=1 t=8780
da an 	答案	c=4 d=0.860708 t=10635
da bao 	打包	c=1 d=1 t=1103
da dao 	打到	c=1 d=1 t=7240
da er 	大二	c=0 d=0.1 t=7320
da fang 	大方	c=1 d=1 t=8106
da feng 	大風	c=2 d=1.16864 t=5754
da gai 	大概	c=2 d=1 t=7669
da ge ming 	大革命	c=2 d=1.9802 t=5316
da gei 	打給	c=0 d=0.1 t=10085
da gei wo 	打給我	c=1 d=1 t=10086
da gui mo 	大規模	c=1 d=1 t=3503
da hui 	大會	c=0 d=0.1 t=7598
da hui yuan 	大會遠	c=1 d=1 t=7599
da jia 	大家	c=10 d=1 t=8835
da kai 	大開	c=0 d=0.1 t=2919
da kai 	打開	c=18 d=0.72074 t=9899
da li 	大力	c=1 d=1 t=4049
da lu 	大陸	c=3 d=1.94649 t=3978
da rao 	打擾	c=1 d=1 t=10509
da sao 	打掃	c=1 d=1 t=8719
da sao dang 	大掃蕩	c=1 d=1 t=5921
da shang 	打上	c=0 d=0.1 t=8680
da shi yan 	大實驗	c=1 d=1 t=6218
da shu ju 	大數據	c=1 d=1 t=7262
da si 	大四	c=1 d=1 t=7354
da tie 	打鐵	c=1 d=1 t=4951
da tou 	大頭	c=2 d=1.63763 t=4127
da xia 	大俠	c=1 d=1 t=3776
da xiao 	大小	c=3 d=1.23589 t=9362
da xiao xie 	大小寫	c=4 d=2.95824 t=9632
da xie 	大寫	c=2 d=1.97531 t=8436
da xiong 	大雄	c=2 d=1.86071 t=3871
da xue 	大學	c=26 d=2.53591 t=10545
da yi 	大一	c=1 d=1.09512 t=7330
da yi da er 	大一大二	c=1 d=1 t=7321
da yin 	打印	c=4 d=1.52205 t=9202
dai 	代	c=2 d=1.9802 t=3336
dai 	帶	c=1 d=1 t=9857
dai jia 	代價	c=1 d=1 t=1348
dai lai 	帶來	c=1 d=1 t=3610
dai ling xia 	帶領下	c=1 d=1 t=5530
dai ma 	代碼	c=15 d=1.26341 t=10254
dai quan 	帶權	c=1 d=1 t=2166
dai ti 	代替	c=1 d=1 t=434
dai you 	帶有	c=1 d=1 t=9967
dan 	但	c=3 d=1.00029 t=8512
dan ci 	單詞	c=18 d=3.21868 t=9340
dan lao shi 	但老師	c=1 d=1 t=7345
dan mu 	彈幕	c=0 d=0.1 t=1480
dan pian ji 	單片機	c=1 d=1 t=6275
dan qian 	丹鉛	c=1 d=1 t=9490
dan shi 	但是	c=42 d=2.04921 t=10635
dang 	擋	c=1 d=1 t=1049
dang 	當	c=2 d=1 t=8804
dang an 	檔案	c=4 d=3.83156 t=5503
dang qian 	當前	c=11 d=1.01409 t=9491
dang qian hang 	當前行	c=3 d=1.00457 t=9634
dang qian ye 	當前頁	c=1 d=1 t=6599
dang shi 	當時	c=8 d=1 t=10175
dang wo 	當我	c=1 d=1 t=177
dang wo men 	當我們	c=1 d=1 t=1335
dao 	到	c=31 d=1.62127 t=10527
dao 	盜	c=1 d=1.00464 t=4797
dao 	道	c=1 d=1 t=7101
dao chu 	導出	c=1 d=0.1 t=8329
dao chu bao hu 	導出保護	c=1 d=1 t=8330
dao da 	到達	c=1 d=1 t=9851
dao de 	道德	c=1 d=1 t=3220
dao di 	到底	c=1 d=1 t=7126
dao le 	到了	c=2 d=1.97045 t=3200
dao li 	道理	c=0 d=0.1 t=3237
dao long 	刀龍	c=1 d=1 t=5263
dao lun 	導論	c=1 d=1 t=1209
dao ru 	導入	c=1 d=1 t=8614
dao shi pin 	盜視頻	c=3 d=1.38063 t=4572
dao shu 	倒數	c=1 d=1 t=8348
dao ti 	道題	c=1 d=1 t=8520
dao wei 	到位	c=1 d=1 t=556
dao xian zai 	到現在	c=1 d=1 t=7264
dao xue 	導學	c=3 d=1.8781 t=10290
dao xue 	道學	c=1 d=1 t=3258
dao zhi 	導致	c=1 d=1 t=9125
dao zui hou 	到最後	c=1 d=1 t=3250
day 	day 	c=1 d=1 t=147
de 	得	c=2 d=1.00074 t=10565
de 	的	c=488 d=6.4714 t=10635
de dao 	得到	c=3 d=0.124579 t=9068
de hua 	的話	c=0 d=0.1 t=6664
de jun 	德軍	c=2 d=1.00007 t=5902
de li 	得力	c=1 d=1 t=8850
de yu 	德語	c=4 d=2.01958 t=1962
deng 	等	c=6 d=1.1764 t=8610
deng 	鄧	c=2 d=1.80654 t=10270
deng gao 	等高	c=1 d=1 t=9888
deng hui 	等會	c=1 d=1 t=4885
deng hui ba 	等會吧	c=1 d=1 t=10245
deng jia 	等價	c=2 d=1.62189 t=9973
deng ping tai 	等平臺	c=1 d=1 t=6481
deng ru 	登入	c=2 d=1 t=10563
deng tian 	登天	c=1 d=1.03906 t=5380
deng tian zhi lu 	登天之路	c=1 d=1 t=5193
deng yue 	登月	c=2 d=1.00015 t=3855
di 	第	c=33 d=8.32931 t=10327
di duan 	底端	c=1 d=1 t=9891
di er 	第二	c=2 d=1.00121 t=6309
di er ci 	第二次	c=1 d=1 t=10406
di er dian 	第二點	c=1 d=1 t=4495
di er ge 	第二個	c=3 d=1 t=4967
di er wei 	第二位	c=1 d=1 t=8349
di fang 	地方	c=3 d=1.00008 t=3401
di gui 	遞歸	c=8 d=2.32256 t=9765
di lei 	地雷	c=1 d=1 t=7712
di li 	地理	c=1 d=1 t=5173
di que 	的確	c=9 d=1.23045 t=5092
di que bu cuo 	的確不錯	c=1 d=1 t=4352
di san dian 	第三點	c=1 d=1 t=4558
di tie 	地鐵	c=1 d=1 t=2819
di xia 	底下	c=1 d=1 t=6391
di yi ge 	第一個	c=3 d=1.92892 t=2454
di yi hang 	第一行	c=2 d=1 t=8379
di yi lie 	第一列	c=1 d=1 t=9278
di yi tiao 	第一條	c=1 d=1 t=2252
di yu 	地域	c=1 d=0.102081 t=5567
di yu hei 	地域黑	c=1 d=1 t=5568
di zhi 	地址	c=1 d=1 t=4579
dian 	電	c=2 d=1 t=5458
dian 	點	c=2 d=1.02596 t=4642
dian dao 	顛倒	c=1 d=1 t=3641
dian hua 	電話	c=1 d=1 t=9739
dian ji 	點擊	c=1 d=1 t=1825
dian li 	電力	c=3 d=1.29083 t=9329
dian liang 	電量	c=2 d=1.98511 t=6432
dian lu 	電路	c=3 d=1.00084 t=2960
dian nao 	電腦	c=3 d=1 t=7881
dian qi gong cheng 	電氣工程	c=0 d=0.1 t=9214
dian qi gong cheng shi 	電氣工程師	c=1 d=1 t=9215
dian shi ju 	電視劇	c=2 d=1.09827 t=5757
dian ying 	電影	c=5 d=1 t=8007
dian yuan 	電源	c=1 d=1 t=6431
dian zan 	點贊	c=2 d=1.00001 t=3428
dian zi 	電子	c=6 d=1 t=7041
dian zi ke da 	電子科大	c=1 d=1 t=3005
dian zi shu 	電子書	c=1 d=1 t=1875
dian zi xin 	點自信	c=1 d=1 t=4373
diao 	掉	c=0 d=0.1 t=2357
diao chu 	調出	c=1 d=1 t=6684
diao huan 	調換	c=1 d=1 t=6372
diao yong 	調用	c=2 d=1.02215 t=1243
ding 	丁	c=1 d=1 t=285
ding dian 	頂點	c=27 d=8.00014 t=2792
ding dian biao 	頂點表	c=3 d=2.45229 t=2274
ding dian kai shi 	頂點開始	c=1 d=1 t=2448
ding dian li mian 	頂點裏面	c=1 d=1 t=2526
ding dian shu 	定點數	c=1 d=1 t=3370
ding dian shu 	頂點數	c=1 d=1 t=2178
ding li 	定理	c=1 d=1 t=6750
ding shi 	定時	c=2 d=1 t=6811
ding wei 	定位	c=1 d=1 t=8480
ding xiang 	定向	c=0 d=0.1 t=10475
ding yi 	定義	c=24 d=3.17328 t=9865
dong 	動	c=1 d=1 t=4106
dong 	懂	c=1 d=1 t=10143
dong 	東	c=1 d=1 t=6184
dong bei 	東北	c=11 d=1.96561 t=8464
dong bei kang lian 	東北抗聯	c=3 d=2.88924 t=5504
dong bei lun xian 	東北淪陷	c=1 d=1 t=5515
dong hua 	動畫	c=7 d=1.00008 t=8868
dong hua pian 	動畫片	c=3 d=1.10733 t=5292
dong le 	懂了	c=1 d=1.00004 t=10506
dong tai 	動態	c=6 d=1.97045 t=9956
dong tai ku 	動態庫	c=2 d=1.09877 t=932
dong tai ku wen jian 	動態庫文件	c=1 d=1 t=577
